CAMPAIGN_ID	PORTFOLIO_ID	TYPE	TARGETING_TYPE	BIDDING_STRATEGY	STATE	NAME	BRAND
349093064576151	75502736915950	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	deBuyer-Blue_Carbon_Steel_Round_Fry_Pan-MULTI_ASIN-Branded-SP-Phrase	de Buyer
365194627994569	75502736915950	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	deBuyer-Blue_Carbon_Steel_Round_Fry_Pan-MULTI_ASIN-NB-SP-Phrase	de Buyer
377105864183459	75502736915950	sp	AUTO	LEGACY_FOR_SALES	PAUSED	deBuyer-Blue_Carbon_Steel_Round_Fry_Pan-MULTI_ASIN-NB-SP-Auto	de Buyer
465508618042445	53097889230529	sp	MANUAL	MANUAL	PAUSED	BeautyForReal-LipCare-All-NB-SP-CAT-Price-CNQ	Beauty For Real
445791922155130	51645416891488	sp	MANUAL	MANUAL	PAUSED	Triangle-All_Products-Pumpkin_Carving_Set-Branded-SP-Manual-Phrase	Triangle GmbH
391506853978562	75502736915950	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	deBuyer-Blue_Carbon_Steel_Round_Fry_Pan-MULTI_ASIN-NB-SP-Broad	de Buyer
297148714571747	51645416891488	sp	MANUAL	MANUAL	PAUSED	Xmars AI Triangle-All_Products-Pumpkin_Carving_Set-NB-SP-Manual-Category-CNQ	Triangle GmbH
561122607230791	53097889230529	sp	MANUAL	MANUAL	PAUSED	BeautyForReal-Mascara-All-NB-SP-CAT-Price-CNQ	Beauty For Real
349861032520516	60205239185406	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	BeastSports-Sports Nutrition-Catch-All-NB-SP-CAT	Beast Sports Nutrition
436737021526352	255749018691296	sp	MANUAL	MANUAL	PAUSED	Babyzen-YOYO2_Stroller-NB-SP-Manual-Broad	BABYZEN
451897944015144	137757003758306	sp	AUTO	AUTO_FOR_SALES	PAUSED	Fekkai-BB-Bundle-B0BFBRMW4S-NB-SP-Automatic	FEKKAI
544308425234373	137757003758306	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Fekkai-BB-Bundle-B0BFBRMW4S-NB-SP-Manual-Phrase	FEKKAI
330053729638752	137757003758306	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Fekkai-BB-Bundle-B0BFBRMW4S-NB-SP-Manual-Exact	FEKKAI
364484527250418	29261086040329	sp	AUTO	MANUAL	PAUSED	Stevita-SteviaExtraSweet-Sweetener-All-NB-SP-Auto	Stevita
559992143214532	29261086040329	sp	AUTO	MANUAL	PAUSED	Stevita-BakeItBetter-MonkFruit-Baking-NB-SP-Auto	Stevita
480750297292779	29261086040329	sp	AUTO	MANUAL	PAUSED	Stevita-BakeItBetter-Erythritol-Baking-NB-SP-Auto	Stevita
512322355684639	137757003758306	sp	MANUAL	LEGACY_FOR_SALES	PAUSED	Fekkai-BB-Bundle-B0BFBRMW4S-NB-SP-Manual-CAT-ASIN-CNQ	FEKKAI
433319548146245	29261086040329	sp	AUTO	LEGACY_FOR_SALES	PAUSED	Stevita-CocoaDelight-Powder-4.2oz-NB-SP-Auto	Stevita
505931773126523	29261086040329	sp	AUTO	MANUAL	PAUSED	Stevita-SteviaXylitol-Sweetener-All-NB-SP-Auto	Stevita
78007478819644	177588918708852	sp	AUTO	MANUAL	PAUSED	Reduce-Insulated_Cocktail_Shaker-B07PGJ9Y1K-NB-SP-Auto	Reduce
